month,deposits,aver_inc,population,manprop,billboard,numofbank
10,0,4279,14334,48,1,8
8,159,6226,19636,54,1,5
9,70,5978,18070,55,1,8
7,60,6385,9539,40,1,14
10,119,7909,17996,43,1,9
9,85,4724,12854,54,1,16
11,0,5960,6302,43,1,16
9,36,7216,8270,44,1,7
8,31,7438,5227,43,1,10
11,136,4968,6424,41,1,18
7,117,6749,11189,48,1,15
9,158,5668,9577,54,1,7
11,93,6184,6220,43,1,13
11,153,5212,17266,41,1,20
8,61,6221,13823,53,1,15
8,0,5765,13001,55,1,8
8,0,6630,9945,43,1,13
11,0,4385,8250,58,1,9
9,51,6088,8338,59,1,18
9,82,5230,8815,57,1,12
11,128,3722,11569,60,1,19
11,94,5620,16023,40,1,5
10,106,7711,7665,41,1,18
12,0,5710,5228,55,1,19
12,64,7897,9386,40,1,10
7,133,4815,18592,53,1,13
10,94,7134,13090,58,1,20
12,159,4257,5617,45,1,8
10,52,6679,10876,47,1,8
8,97,7857,19985,54,1,7
12,0,7546,9688,47,1,8
10,83,6833,6738,57,1,18
8,69,4589,10132,44,1,15
11,58,5179,6659,57,1,18
7,0,4564,14488,49,1,5
7,120,6285,13319,40,1,16
11,170,4761,8203,45,1,9
8,106,6198,19694,60,1,20
7,74,6622,5157,41,1,11
8,0,6461,11028,55,1,19
10,135,3940,12215,43,1,19
9,66,6766,11731,44,1,6
7,112,7062,5346,53,1,6
12,0,5072,15811,55,1,19
7,0,5158,9166,60,1,17
12,76,5756,7955,48,1,11
8,0,6684,14856,43,1,9
9,82,4437,6870,55,1,16
9,101,4866,19732,45,1,16
9,0,6933,11744,46,1,13
9,129,5496,8500,48,1,12
9,189,5047,17674,45,1,5
11,136,6169,17048,57,1,18
9,0,7298,19241,43,1,18
10,86,5945,19375,53,1,15
12,45,5422,16805,55,1,15
9,0,6461,11949,51,1,10
7,0,4726,5688,40,1,19
11,83,6550,11869,49,1,9
10,49,7520,19761,56,1,9
8,110,4637,5403,52,1,12
11,92,7098,17949,43,1,11
12,0,6506,18178,58,1,15
7,73,4387,8882,54,1,13
9,128,5407,6264,42,1,19
10,174,5881,18623,52,1,12
10,80,3819,10552,43,1,8
12,124,3768,7490,49,1,5
10,0,5557,16238,55,1,8
12,108,5029,16196,50,1,8
11,136,4380,13861,50,1,16
9,69,6202,7343,59,1,11
10,84,5667,14012,43,1,15
12,0,6869,11552,42,1,7
11,0,6561,5534,44,1,12
11,0,6412,14329,47,1,7
11,121,5980,9371,42,1,11
12,0,5006,11203,47,1,19
11,0,5447,12005,50,1,6
9,86,5734,5590,46,1,9
11,106,4299,13260,53,1,15
8,96,6370,17223,48,1,18
8,71,5764,6435,40,1,11
9,0,5860,17943,51,1,14
8,66,4344,10536,60,1,7
8,101,4826,7353,41,1,17
9,98,7135,7721,49,1,16
7,91,5378,13433,44,1,17
9,0,5675,13771,43,1,9
9,206,6387,13321,56,1,16
8,120,3981,15774,43,1,16
11,87,6387,5958,54,1,12
11,61,5489,9260,60,1,10
7,133,6035,18881,40,1,11
7,142,5063,19196,52,1,9
8,96,3893,9866,44,1,12
10,93,3634,17401,59,1,16
8,107,4229,10038,51,1,13
11,89,6240,15886,40,1,13
10,110,5165,10971,42,1,11
12,66,6066,17508,60,1,14
10,152,3927,8203,58,1,7
9,127,6994,18392,49,1,20
7,0,6699,15007,41,1,5
11,0,7325,13165,44,1,15
11,180,4970,5441,44,1,10
8,153,8174,13649,41,1,16
7,74,7693,17027,45,1,12
9,71,5969,17250,59,1,14
12,78,6574,16871,58,1,12
12,98,6637,13642,45,1,12
10,173,4432,15056,56,1,5
7,122,5350,9738,50,1,19
12,133,6002,11237,53,1,10
12,59,6526,5830,50,1,17
11,134,5448,15007,50,1,5
10,136,5599,9052,60,1,13
12,112,5857,12343,56,1,8
7,103,5081,6234,57,1,9
8,105,8194,9204,54,1,18
7,121,4752,13973,42,1,8
8,109,4376,7029,42,1,8
9,194,7713,10838,47,1,18
10,91,5895,9238,42,1,13
9,131,6932,9044,55,1,9
9,0,5931,7946,56,1,13
12,59,4884,18730,57,1,14
8,119,6149,17995,51,1,10
9,119,6114,19585,51,1,5
12,148,5387,9417,52,1,19
8,93,5068,9636,43,1,16
7,78,5256,17506,42,1,10
11,55,5140,15208,50,1,10
7,151,6142,15458,50,1,18
9,121,4562,17839,53,1,11
10,105,4769,16441,43,1,9
10,116,7489,15371,46,1,9
7,132,5437,14434,53,1,8
7,78,5225,11977,49,1,17
10,0,6256,5637,46,1,18
9,123,7402,16126,40,1,10
12,73,5492,7402,45,1,8
10,115,5650,6008,57,1,16
7,148,5863,17758,53,1,20
8,100,5285,7544,56,1,16
12,116,5776,16453,46,1,10
9,68,7697,7348,43,1,20
11,74,6547,10923,44,1,5
8,174,7016,6610,49,1,14
8,130,4847,11592,52,1,20
9,109,5819,17047,52,1,8
8,0,5925,12504,58,1,16
12,0,5939,8671,54,1,6
12,95,4632,11673,46,1,10
12,128,7404,6469,45,1,14
8,215,5476,11527,58,1,11
8,150,4852,5692,52,1,10
8,0,5682,8987,43,1,19
9,121,6755,8814,40,1,19
9,50,5302,14169,57,1,18
10,0,6348,12725,44,1,19
7,115,5187,5240,40,1,9
9,111,6492,19369,50,1,10
8,100,5423,13071,45,1,10
9,54,5930,9394,45,1,15
8,112,6271,5049,41,1,15
11,80,8220,12131,48,1,8
7,34,6292,5467,47,1,18
7,51,5530,18577,44,1,18
9,113,5378,12294,50,1,20
10,157,7575,8839,52,1,5
9,69,6898,14071,40,1,7
8,79,5715,17197,48,1,19
9,138,5581,12383,57,1,9
9,47,5130,7470,57,1,6
8,71,5483,19365,42,1,7
12,94,4063,10938,48,1,12
12,60,6623,6612,41,1,17
9,0,5979,7699,40,1,19
8,92,4108,7224,54,1,13
8,0,4417,19429,49,1,20
7,104,6327,5807,51,1,10
11,180,5129,11488,55,1,19
11,130,6316,15919,51,1,19
10,76,4328,16826,60,1,13
12,156,5757,13677,46,1,7
11,153,7494,13420,56,1,12
9,24,5678,8861,52,1,17
9,80,5156,10742,44,1,5
9,166,4778,10699,45,1,7
8,146,6916,16160,54,1,8
8,182,5540,16894,40,1,17
8,125,5890,9312,45,1,18
12,116,7572,6373,57,1,10
10,91,5675,10832,40,1,14
10,196,6967,12639,57,1,5
8,144,4876,16710,60,1,10
12,0,6240,18929,47,1,9
11,100,4532,11759,60,1,12
10,96,4350,8524,53,1,19
7,0,7471,6282,48,1,8
9,116,5626,16611,43,1,6
8,72,6844,14280,60,1,16
10,90,5931,19710,44,1,20
10,86,8215,12741,50,1,6
7,131,6292,17638,40,1,16
8,131,3644,17043,55,1,6
12,103,6792,14866,41,1,5
9,121,7016,17138,55,1,7
10,156,7223,19082,60,1,12
7,0,4964,9844,51,1,6
12,145,6593,6153,46,1,14
7,90,6975,9594,51,1,17
8,125,5229,8961,60,1,8
9,53,6051,18454,41,1,16
8,100,7957,6280,49,1,12
12,54,5743,8209,56,1,13
8,98,6118,8930,56,1,5
11,0,6711,18229,54,1,17
11,0,7528,8905,60,1,18
7,198,7960,11944,50,1,9
11,116,5632,17678,55,1,12
7,65,7398,7157,43,1,15
12,109,5186,18280,44,1,7
10,118,4826,8510,60,1,20
10,0,7846,13136,43,1,7
7,170,8045,8767,48,1,20
11,50,5293,16219,45,1,13
7,90,5243,8682,51,1,12
7,102,6804,15841,43,1,17
11,33,6806,7143,51,1,6
11,58,5623,7119,58,1,14
11,0,5820,10320,41,1,13
7,104,5665,11460,40,1,9
8,96,6575,7769,57,1,19
11,109,6016,8916,52,1,8
10,94,6018,5166,51,1,12
8,121,6588,9342,57,1,8
9,0,5778,12050,40,1,13
9,0,5002,5786,46,1,8
8,113,7115,17104,51,1,5
9,93,3532,18724,48,1,16
9,0,6343,9021,48,1,10
8,143,4484,10348,51,1,6
11,99,4864,8316,53,1,15
12,122,4722,11571,56,1,11
11,119,4593,6033,46,1,16
8,0,5270,11931,47,1,16
8,100,5048,14686,56,1,15
10,42,4457,5859,56,1,13
11,0,6376,5167,57,1,17
11,38,5143,9140,59,1,12
8,55,7202,5235,40,1,14
7,105,6515,12700,48,1,11
11,0,4741,16496,50,1,8
11,82,5481,18317,48,1,11
8,0,6507,18207,45,1,20
9,0,7036,10850,49,1,20
12,0,5609,10461,40,1,9
10,86,5898,14295,55,1,11
12,97,5433,8855,44,1,15
7,0,6032,9065,60,1,13
8,82,6310,11473,43,1,15
11,0,5246,5049,53,1,12
10,80,5734,6402,45,1,16
12,0,7192,7181,43,1,5
8,135,4296,14445,60,1,18
7,115,7357,18664,53,1,11
9,126,5336,6221,52,1,13
9,113,5746,15736,42,1,15
10,49,5658,7996,47,1,18
7,169,5048,15779,42,1,6
8,112,5401,10384,48,1,17
8,109,5237,5329,47,1,5
12,0,7121,19833,47,1,6
7,144,6989,8766,57,1,7
12,109,7594,11438,41,1,11
8,0,4513,19210,41,1,16
8,123,4506,13088,54,1,11
9,72,6306,19075,52,1,15
9,0,7034,17293,60,1,14
10,99,6801,12677,53,1,10
11,81,4999,11830,41,1,8
12,129,5460,9162,43,1,17
7,117,7634,15803,58,1,20
7,87,4942,15642,60,1,5
12,99,3832,13962,53,1,17
10,55,5767,14775,54,1,8
11,89,4559,14763,60,1,12
7,83,8281,5242,47,1,12
9,98,6449,19342,52,1,5
12,104,6804,8610,58,1,18
8,137,4499,8800,45,1,11
8,55,6508,5617,47,1,6
10,49,6270,19599,49,1,14
9,57,5757,6275,56,1,9
7,82,6012,6020,55,1,18
12,146,4746,9465,59,1,16
9,81,4555,5961,49,1,8
12,143,4925,13904,43,1,15
7,86,7243,6090,54,1,19
8,201,6272,19064,49,1,15
7,47,5017,6139,58,1,6
12,155,6554,12217,47,1,20
11,0,6505,19228,45,1,6
7,83,6246,10160,48,1,18
12,0,6402,7101,58,1,5
10,118,6441,8862,51,1,20
10,92,5986,8334,55,1,11
8,0,6851,8575,55,1,8
9,69,7678,13502,50,1,6
9,0,7040,10123,57,1,9
9,121,3910,19153,51,1,9
12,147,7458,6755,47,1,7
11,55,6666,10630,45,1,8
10,72,5107,9402,51,1,12
8,0,5193,11205,49,1,6
9,192,6107,15176,45,1,16
9,0,5325,6830,57,1,12
9,101,5082,16111,57,1,10
12,178,4400,14731,48,1,18
7,0,5585,7825,45,1,16
8,50,7445,12551,57,1,19
8,124,6996,6698,54,1,19
9,115,7117,18499,45,1,11
9,105,5468,17081,49,1,12
11,43,5692,9704,55,1,11
10,107,7531,19661,49,1,7
11,251,5350,12887,42,1,5
9,0,5188,6338,51,1,11
7,43,5902,13837,44,1,15
7,0,5576,18553,53,1,7
12,0,8035,5055,58,1,13
11,52,7554,18037,57,1,7
10,128,6630,16889,57,1,17
9,0,5751,5663,41,1,6
9,109,7441,5622,46,1,13
11,88,6371,9429,51,1,11
7,85,5700,5368,44,1,7
8,108,6620,14428,56,1,13
7,0,4951,5751,45,1,12
12,0,4317,5220,43,1,16
9,76,6987,17998,48,1,15
11,97,5215,19531,47,1,10
8,77,5782,18670,57,1,13
9,0,4145,13254,57,1,5
12,0,7019,13095,56,1,8
11,122,4890,13309,53,1,18
11,221,6219,6261,53,1,13
11,51,7099,7195,58,1,5
9,33,6359,7751,58,1,6
11,74,7561,16881,42,1,11
11,124,3651,8899,43,1,20
10,141,6185,17172,43,1,12
10,90,6525,5714,54,1,10
12,135,7065,10703,42,1,15
7,134,5919,8155,41,1,17
7,166,4738,13199,49,1,14
11,195,5253,5725,45,1,14
12,94,5779,15267,51,1,6
9,0,7014,18723,45,1,9
10,0,5235,10850,42,1,8
12,0,5833,12234,40,1,17
10,67,5547,8049,45,1,11
11,178,6536,5590,40,1,17
9,114,5483,7384,45,1,17
10,62,7350,16913,59,1,9
12,0,6987,14509,60,1,11
11,43,6312,12714,57,1,8
8,100,5218,19996,49,1,8
8,88,6941,18302,56,1,13
10,162,6853,6147,46,1,5
12,92,6273,8167,42,1,14
9,82,5565,14409,43,1,8
9,191,5126,6199,42,1,18
12,152,6506,12609,58,1,20
10,104,5765,12474,43,1,6
10,99,4900,15019,52,1,10
7,0,5870,8823,59,1,11
11,104,7224,17101,52,1,7
10,58,5893,7487,45,1,6
7,100,5774,5869,52,1,16
10,110,4710,18193,48,1,12
10,0,4403,5044,43,1,7
8,68,5126,5861,59,1,18
12,0,5881,17528,60,1,12
11,118,5999,19069,44,1,17
9,89,7825,17360,51,1,18
10,77,5803,19913,50,1,8
10,122,5811,7986,57,1,18
7,134,8392,7400,55,1,10
11,103,6678,7409,51,1,8
8,155,4685,14357,54,1,15
11,110,5520,12060,58,1,19
11,150,6280,7972,55,1,9
11,47,3787,19655,59,1,12
10,145,4651,8939,46,1,5
7,103,5706,13357,44,1,8
9,0,5561,7069,47,1,13
10,75,5161,18178,44,1,7
10,117,7413,14814,53,1,5
7,153,4964,6192,56,1,14
12,125,6567,13906,56,1,17
10,106,6143,11473,51,1,15
12,79,6515,18984,50,1,13
10,153,6530,19051,45,1,20
10,110,5471,12460,54,1,5
9,125,4679,17683,48,1,5
10,80,5707,8306,57,1,17
12,73,4607,10466,53,1,17
12,45,5889,6822,55,1,6
7,128,5792,15294,52,1,20
9,123,7247,9362,48,1,19
11,118,6612,5466,60,1,7
10,102,4207,11085,51,1,12
12,90,6882,5745,44,1,5
11,145,3807,15549,50,1,11
9,81,5744,5182,40,1,19
11,130,6994,18579,49,1,20
9,85,7350,11618,45,1,14
11,34,6413,12299,52,1,14
7,0,5214,5003,58,1,10
7,72,7215,8075,51,1,12
10,99,6969,13756,46,1,5
8,159,4663,9313,49,1,20
8,74,4828,5605,52,1,9
8,0,5832,6940,42,1,14
9,71,5415,19248,43,1,9
4,185,5201,15034,57,0,6
2,216,4583,18245,58,0,9
5,148,3509,6100,50,0,13
4,168,4616,12452,42,0,8
1,225,3615,12427,40,0,17
3,238,4558,5210,40,0,16
4,253,5029,5770,41,0,12
4,225,4962,18861,40,0,10
2,0,5130,15430,40,0,16
3,153,3664,5618,52,0,8
3,148,4044,19989,42,0,14
6,176,4530,9881,54,0,12
6,200,4876,13047,48,0,9
3,102,4309,12118,53,0,11
1,222,4835,11803,56,0,14
6,0,4461,18975,50,0,16
5,136,3845,10436,57,0,18
1,85,3885,15846,41,0,11
3,111,3956,14799,46,0,14
5,267,4993,7942,58,0,14
3,120,4477,15033,49,0,6
4,144,4122,19499,56,0,20
3,207,3712,16596,52,0,8
2,249,4657,8883,54,0,6
2,180,3873,18235,49,0,6
1,145,3873,6548,41,0,11
6,212,5098,17288,58,0,8
2,0,4974,19443,46,0,11
4,133,5353,10501,57,0,8
5,280,4147,17694,56,0,17
2,164,5026,11321,55,0,17
3,185,3948,15449,42,0,19
5,0,4480,14738,56,0,12
6,233,4378,9053,59,0,9
2,185,3925,18023,60,0,16
3,272,5401,19889,42,0,18
1,0,5261,19702,44,0,9
4,240,4686,6911,50,0,13
1,263,5244,19037,48,0,18
4,0,5156,11255,47,0,7
4,286,4204,5172,56,0,15
1,111,4128,12265,52,0,10
4,176,5392,11884,60,0,9
1,155,4578,18563,40,0,17
4,222,4768,6892,49,0,13
1,165,3998,6591,46,0,8
4,166,3611,18618,50,0,9
3,212,4632,5875,60,0,11
6,187,3615,10032,55,0,5
5,191,4727,11885,42,0,5
1,179,5058,10184,52,0,8
6,192,3510,16166,54,0,20
1,198,4867,17900,46,0,18
1,165,4526,12077,56,0,12
4,149,4642,11544,52,0,6
5,251,4671,15579,54,0,14
3,181,4900,18865,49,0,15
3,173,5342,10529,59,0,16
6,136,5434,8894,58,0,18
6,191,5427,5978,47,0,15
6,167,5006,14536,58,0,14
6,151,5243,15040,51,0,10
3,254,3683,7724,50,0,13
5,129,4733,14953,43,0,6
3,172,4201,8612,56,0,16
2,156,4995,13189,56,0,6
5,102,3886,10542,53,0,8
4,172,4031,15313,40,0,9
6,149,4213,10501,51,0,9
3,300,5145,13007,51,0,18
3,211,4182,5652,56,0,12
2,109,4637,7198,45,0,14
1,141,4406,8980,41,0,6
3,229,5277,15408,50,0,18
2,100,5277,15686,44,0,9
5,156,5237,14786,53,0,15
1,165,,11920,57,0,8
3,298,4784,9413,44,0,9
3,168,3691,13663,54,0,15
4,265,4695,10024,56,0,8
6,127,5106,17514,55,0,5
1,272,5035,6597,60,0,5
6,0,3885,15974,45,0,19
3,131,4991,18192,42,0,20
6,204,4244,5756,56,0,12
2,153,3794,13308,42,0,6
4,226,5408,16770,40,0,6
4,180,5228,18036,55,0,9
1,0,3702,7665,41,0,6
3,116,5073,8035,60,0,17
2,107,4483,12886,52,0,6
6,249,4594,16603,57,0,19
3,340,4432,15462,44,0,11
4,169,4634,7328,55,0,16
5,233,4861,5096,45,0,18
1,239,3513,15982,50,0,18
2,190,3711,19554,57,0,11
4,175,5075,6980,55,0,17
6,214,4533,15997,45,0,20
2,200,5351,5479,55,0,17
6,0,3698,12130,58,0,5
5,205,3763,16407,55,0,12
2,146,4922,17320,51,0,12
5,158,5354,11068,40,0,9
1,187,5316,12234,57,0,14
6,244,5402,17590,51,0,6
1,220,3786,8866,54,0,15
3,0,5011,9445,56,0,9
3,172,4297,10304,55,0,13
5,154,3666,10003,54,0,5
3,265,4380,10607,47,0,10
3,0,4158,15481,57,0,6
3,281,5242,16094,54,0,19
5,212,3840,10817,47,0,20
4,205,4818,11628,57,0,14
1,288,4594,8976,40,0,11
4,148,5125,12225,44,0,10
3,222,4045,17536,44,0,17
2,205,4859,11306,50,0,18
1,0,5366,12280,54,0,12
6,231,3565,14503,54,0,19
5,372,3785,14470,54,0,11
3,220,4054,5695,41,0,13
1,181,4863,19884,57,0,5
4,115,5159,7763,44,0,11
4,94,3990,6291,60,0,16
4,243,5491,6321,52,0,16
5,132,3764,5507,50,0,17
3,162,4931,9039,45,0,18
2,267,4209,16767,48,0,18
1,247,3822,16081,49,0,13
5,224,4072,15703,40,0,6
5,187,5262,12683,59,0,16
1,233,4800,11659,56,0,10
5,142,3939,13110,53,0,15
6,318,3799,17413,51,0,10
2,0,5450,14244,58,0,18
2,144,5002,14463,45,0,8
5,207,4005,5207,58,0,11
2,100,4705,12557,49,0,15
3,168,4150,14476,49,0,11
3,120,5302,9230,60,0,13
4,336,3952,10339,56,0,11
5,261,4138,15599,50,0,19
2,285,4365,11809,50,0,6
1,108,4873,14455,60,0,19
6,224,3999,14731,53,0,11
4,183,3986,11266,56,0,18
5,200,3534,8486,44,0,14
1,153,3611,14438,53,0,7
6,211,5420,8714,60,0,9
2,208,4080,18742,44,0,8
2,201,4287,8177,58,0,18
3,147,4637,8052,51,0,13
6,0,5300,12550,48,0,20
5,143,5469,16324,57,0,15
4,184,4753,14731,49,0,5
2,232,5100,9081,56,0,13
4,74,4191,19892,45,0,16
6,190,3559,14839,52,0,6
1,159,4170,12795,55,0,13
1,206,3650,8565,51,0,13
4,186,4120,19473,49,0,17
3,204,5019,5706,53,0,9
6,193,4582,11141,50,0,5
1,209,4074,12630,60,0,20
3,142,4524,11116,57,0,15
6,164,4501,14338,58,0,17
4,146,5057,8275,45,0,11
1,130,5351,8544,51,0,11
6,171,4540,7270,46,0,10
4,231,3711,8930,41,0,12
2,143,5403,9746,47,0,7
4,189,4293,8347,40,0,11
4,144,4009,12773,48,0,13
2,220,3945,12899,58,0,9
3,212,5097,10464,42,0,12
3,212,5261,8537,43,0,8
3,202,3935,8820,56,0,17
3,187,3519,10501,58,0,17
6,340,3687,7604,40,0,14
4,0,4519,13022,59,0,18
3,0,4410,17379,46,0,11
2,215,5160,11127,59,0,9
4,180,4284,18733,41,0,10
5,113,3529,15933,60,0,18
5,323,4266,6658,43,0,18
2,252,4373,10101,57,0,19
2,204,4042,12406,52,0,15
3,143,3831,9247,56,0,14
2,451,4188,12984,48,0,10
2,212,4850,14200,49,0,5
2,239,4747,15845,50,0,8
2,309,5256,10159,42,0,12
5,189,4334,8439,58,0,17
4,285,4291,6102,50,0,18
5,320,3995,14245,59,0,5
4,146,4324,10224,52,0,11
5,0,5186,8958,54,0,5
3,177,4718,15670,52,0,6
1,0,4131,14554,47,0,17
2,226,4307,8280,59,0,6
5,138,4081,12731,50,0,17
2,163,4166,15905,57,0,18
3,0,5109,19487,51,0,9
2,203,4471,11064,56,0,5
6,0,4183,5975,53,0,5
4,210,4733,7047,43,0,9
5,245,3980,12349,48,0,14
2,316,4386,10587,60,0,13
6,187,3978,5002,58,0,16
4,268,5413,12167,50,0,17
1,0,3592,11736,47,0,7
6,101,4433,8591,41,0,13
2,190,4790,15366,50,0,18
6,145,4426,14354,44,0,17
3,136,3891,7659,56,0,20
5,0,4181,7166,57,0,8
4,0,5492,12510,58,0,18
6,178,5130,5433,50,0,15
3,186,5279,14462,44,0,18
3,0,5445,13283,59,0,10
6,190,3720,16787,48,0,5
5,111,5093,9943,41,0,19
4,127,4549,18256,40,0,20
6,347,3518,6411,46,0,8
5,145,4563,10369,48,0,9
2,201,3514,9272,47,0,18
3,238,4497,6216,49,0,20
3,0,4773,7851,51,0,20
1,264,4510,18351,47,0,20
2,130,4313,8023,52,0,11
5,117,4807,11775,60,0,9
6,0,3806,7439,41,0,19
1,0,4426,14355,41,0,10
2,0,5392,8648,44,0,12
1,285,5490,15857,55,0,18
5,157,4992,16062,46,0,17
2,178,3943,5574,42,0,13
4,185,5336,16974,50,0,5
5,108,5329,5245,50,0,17
2,0,3982,5897,42,0,9
2,173,5226,7525,57,0,11
6,175,4511,14473,55,0,10
4,157,5074,5331,51,0,11
5,232,4397,13983,55,0,19
4,223,3828,9683,51,0,12
3,164,3946,10036,59,0,11
1,221,5338,7612,59,0,5
2,184,3662,7113,40,0,12
4,270,4172,11467,53,0,5
1,176,5354,16531,41,0,18
1,119,4463,5136,55,0,6
5,239,4510,13335,51,0,9
3,96,5216,17900,56,0,20
3,280,4892,17561,56,0,6
1,153,3541,13551,47,0,11
5,189,4111,18873,60,0,10
4,0,4660,12929,50,0,17
5,132,3866,15712,51,0,16
4,171,5341,7201,43,0,7
4,135,4142,7584,57,0,9
2,98,4536,5821,45,0,13
2,243,5307,8151,44,0,14
5,113,4355,14489,42,0,14
6,372,5196,16689,57,0,19
2,164,3763,5957,41,0,15
3,88,4295,10091,40,0,5
3,150,5354,9967,46,0,18
3,178,4893,9916,60,0,16
4,190,4455,16223,47,0,20
5,182,3801,7199,59,0,5
5,270,5418,9330,58,0,18
3,206,5095,12924,53,0,18
3,273,5349,8749,40,0,20
1,398,4393,12889,42,0,15
1,336,3877,13109,44,0,8
1,208,5394,8135,60,0,18
1,171,5182,9806,42,0,16
6,201,5239,9605,40,0,16
4,155,5229,11940,57,0,15
1,376,4719,13039,53,0,6
2,141,4890,7919,40,0,5
5,266,4065,11832,46,0,6
3,148,4326,16834,43,0,10
5,294,4094,19380,45,0,7
2,159,4020,9572,59,0,5
1,247,3577,8472,58,0,18
5,177,4587,7115,59,0,12
6,205,5423,15779,60,0,19
6,187,4899,9350,54,0,18
5,209,4854,8244,50,0,18
5,122,5280,13998,57,0,16
6,282,4848,11298,43,0,15
6,286,5341,6704,53,0,19
2,171,3729,9344,49,0,12
4,204,5105,13133,50,0,11
6,145,4196,18256,51,0,11
2,109,4132,18748,40,0,16
1,281,3556,7261,47,0,20
4,246,3962,15813,47,0,5
6,155,5436,5172,58,0,15
6,257,4904,6027,41,0,14
1,228,4174,9349,50,0,12
5,0,4634,16265,60,0,8
3,195,4967,11494,47,0,14
5,200,4812,7102,51,0,10
1,255,4299,5850,58,0,19
4,0,3662,14914,41,0,7
6,73,4663,6549,45,0,12
6,0,4560,12082,60,0,13
6,172,3542,8475,58,0,20
3,300,4900,12510,59,0,16
6,174,3585,6177,56,0,12
2,142,5253,11302,52,0,15
4,206,3535,7279,60,0,13
5,210,4531,6358,50,0,7
6,248,4152,8673,52,0,8
2,185,5458,8998,57,0,17
6,158,3874,5613,43,0,13
6,221,3634,12756,40,0,7
6,201,4539,9759,49,0,5
1,195,5224,10432,45,0,12
3,319,4923,15449,42,0,6
1,128,5199,6556,60,0,20
2,0,4120,14643,53,0,9
3,198,4980,15827,41,0,17
4,152,5238,17595,52,0,12
3,193,4151,17521,42,0,20
4,259,4928,8280,57,0,12
1,326,4455,7711,46,0,19
1,238,5087,7738,50,0,5
4,0,4790,16529,54,0,13
3,0,5359,9032,58,0,5
4,196,5420,15375,50,0,9
2,203,5448,15257,48,0,20
5,223,4651,11601,46,0,11
5,0,3780,17593,53,0,7
6,193,4034,9145,53,0,5
3,280,4638,17186,42,0,11
6,0,4223,9224,49,0,14
5,207,4458,15605,51,0,17
5,392,4337,18407,44,0,20
4,183,5167,16640,47,0,17
5,270,5338,12124,57,0,13
1,211,5462,15323,54,0,16
2,227,5292,8076,53,0,8
4,218,4912,6008,60,0,
6,0,4931,13275,55,0,11
1,239,4151,13926,48,0,5
4,249,5178,14725,53,0,16
6,320,4165,10796,54,0,19
6,265,4582,16301,42,0,7
3,182,4809,6895,59,0,16
3,123,5328,16311,45,0,6
3,118,5244,11772,54,0,19
1,140,5230,5555,42,0,12
4,182,4026,9982,50,0,14
4,172,5424,13943,42,0,11
6,226,3799,8130,59,0,7
5,310,3764,16294,41,0,8
3,206,4608,5199,58,0,14
4,165,5112,18655,56,0,18
2,187,4309,17656,55,0,18
1,115,3631,19336,57,0,17
3,335,5054,12660,58,0,17
4,183,4347,19982,40,0,17
2,351,4580,5562,46,0,10
5,0,4552,5910,40,0,7
4,204,3616,9238,41,0,7
2,372,4863,18437,40,0,6
1,252,5159,7019,43,0,16
5,233,4927,9212,56,0,15
4,259,4592,7407,50,0,16
1,241,3557,10746,46,0,6
6,282,3848,7951,53,0,11
4,169,4200,14250,40,0,7
2,167,3593,19596,46,0,17
5,141,4344,15371,53,0,10
2,0,5382,16243,56,0,6
3,131,5326,9873,47,0,9
5,162,5007,10487,43,0,14
5,93,5400,9274,57,0,12
1,191,3779,15860,50,0,11
6,186,5086,19272,51,0,14
2,103,4959,18948,56,0,8
1,0,5026,17783,58,0,14
4,142,3654,9820,56,0,15
1,0,4321,15933,50,0,13
1,174,5314,7087,40,0,17
3,170,3808,17213,43,0,17
5,0,4769,8155,44,0,10
2,192,4287,6836,40,0,12
2,203,3953,13747,57,0,11
6,236,4668,15435,40,0,19
3,119,3726,11607,56,0,18
3,232,4336,5399,56,0,16
5,305,3786,19034,48,0,10
4,276,3533,5377,60,0,8
6,202,4261,11264,59,0,20
6,242,3660,13035,59,0,16
2,235,4105,7809,50,0,11
1,240,5281,12737,52,0,11
2,204,3625,12871,50,0,10
2,0,5005,17057,59,0,11
4,0,3923,13485,42,0,10
6,153,5251,17890,41,0,15
3,241,5366,16734,57,0,13
4,200,4112,5003,58,0,19
5,255,4236,6283,56,0,20
5,211,4520,6751,60,0,6
3,224,4727,14506,47,0,9
5,256,4192,15108,60,0,19
6,196,3653,16432,56,0,20
6,134,5231,9906,46,0,6
2,156,4704,17192,44,0,8
6,202,4104,19577,57,0,12
6,147,4688,19320,54,0,12
5,342,4003,7035,41,0,15
4,0,3930,6312,50,0,5
5,187,3954,19402,50,0,6
1,183,3853,5734,55,0,14
2,150,4024,16159,43,0,13
6,110,4297,12086,42,0,11
5,223,4752,6291,40,0,18
2,0,4686,10275,44,0,14
2,94,3915,12714,54,0,14
5,349,3955,17619,57,0,7
2,166,3611,7817,60,0,19
2,200,3740,12121,44,0,9
5,235,3527,19692,46,0,6
2,134,4329,5488,51,0,19
3,176,3718,14415,58,0,14
4,216,4948,15727,49,0,19
3,112,4215,10236,42,0,17
5,173,4072,16044,45,0,6
1,235,3807,13568,52,0,14
3,250,4435,6698,49,0,9
1,286,5156,6797,40,0,14
5,225,5033,12006,59,0,7
1,173,4491,12558,55,0,5
3,104,4891,19160,42,0,10
2,254,4939,16436,43,0,18
6,293,4613,12125,52,0,10
6,0,5482,18381,49,0,17
